asset_id,type,pages,status,prompt_file,output_file
cover_wrap,cover,outside,not_generated,prompts/covers/front_cover_art.txt|prompts/covers/back_cover_art.txt,art/cover/cover_wrap_master.png
title_vignette,interior_spot,1,not_generated,prompts/interior/title_page_vignette.txt,art/interior-spots/title_vignette.png
copyright_spot,interior_spot,2,not_generated,prompts/interior/copyright_spot.txt,art/interior-spots/copyright_spot.png
dedication_prelude,interior_spot,3,not_generated,prompts/interior/dedication_prelude.txt,art/interior-spots/dedication_prelude.png
spread_01,spread,4-5,not_generated,prompts/spreads/spread_01_pages_04-05.txt,art/spreads/spread_01_master.png
spread_02,spread,6-7,not_generated,prompts/spreads/spread_02_pages_06-07.txt,art/spreads/spread_02_master.png
spread_03,spread,8-9,not_generated,prompts/spreads/spread_03_pages_08-09.txt,art/spreads/spread_03_master.png
spread_04,spread,10-11,not_generated,prompts/spreads/spread_04_pages_10-11.txt,art/spreads/spread_04_master.png
spread_05,spread,12-13,not_generated,prompts/spreads/spread_05_pages_12-13.txt,art/spreads/spread_05_master.png
spread_06,spread,14-15,not_generated,prompts/spreads/spread_06_pages_14-15.txt,art/spreads/spread_06_master.png
spread_07,spread,16-17,not_generated,prompts/spreads/spread_07_pages_16-17.txt,art/spreads/spread_07_master.png
spread_08,spread,18-19,not_generated,prompts/spreads/spread_08_pages_18-19.txt,art/spreads/spread_08_master.png
spread_09,spread,20-21,not_generated,prompts/spreads/spread_09_pages_20-21.txt,art/spreads/spread_09_master.png
spread_10,spread,22-23,not_generated,prompts/spreads/spread_10_pages_22-23.txt,art/spreads/spread_10_master.png
spread_11,spread,24-25,not_generated,prompts/spreads/spread_11_pages_24-25.txt,art/spreads/spread_11_master.png
spread_12,spread,26-27,not_generated,prompts/spreads/spread_12_pages_26-27.txt,art/spreads/spread_12_master.png
spread_13,spread,28-29,not_generated,prompts/spreads/spread_13_pages_28-29.txt,art/spreads/spread_13_master.png
spread_14,spread,30-31,not_generated,prompts/spreads/spread_14_pages_30-31.txt,art/spreads/spread_14_master.png
end_spot,interior_spot,32,not_generated,prompts/interior/page_32_end_spot.txt,art/interior-spots/page_32_end_spot.png
