spread,pages,time,power_state,spinette_state,gromas_emotion,human_visibility,key_palette
"01","4-5","meeting, unspecified","critically low","concept only","concerned leader","none","moss, teal, faint amber"
"02","6-7","same meeting","critically low","prototype revealed","calm, curious","cropped legs above","paper cream, teal, workshop amber"
"03","8-9","same meeting","critically low","prototype demonstration","delighted understanding","imagined/cropped shoe only","brass, copper, butter gold"
"04","10-11","same day","critically low","production plan","approving leader","none","moss, copper, lively cream"
"05","12-13","five-day montage","declining","manufactured/tested","focused oversight","none","workshop gold, deep green"
"06","14-15","evening to dawn","low","ready for installation","proud, determined","none","indigo to peach"
"07","16-17","day through night","low and declining","being installed","encouraging, tired","apartment empty","daylight to lamp amber/navy"
"08","18-19","next dawn","nearly empty","many installed, some remaining","urgent but supportive","none","sunrise orange, cool teal"
"09","20-21","final minutes to blackout","empty","all installed, inactive","hope to shock","none","gold to deep blue"
"10","22-23","night to morning","empty","ready, inactive","patient suspense","hands/partial bodies in kitchen","navy to cream/peach"
"11","24-25","morning departure","empty","ready beneath shoe","breathless hope","couple, Bobby, black shoe","warm apartment over cool underfloor"
"12","26-27","morning steps","charging","active in sequence","relief and joy","black shoe/feet only","luminous gold, copper, moss"
"13","28-29","after departure","restored","offscreen/working normally","proud to thoughtful/sleepy","none","amber to violet"
"14","30-31","night/bedtime","stable restored glow in distance","offscreen","peacefully exhausted","none","bedside amber to navy"
